ROI1,ROI2,meanAN,meanHEALTH,meanHF,meanLF,stdAN,stdHEALTH,stdHF,stdLF,padj HAN,padj H_LF,padj H_HF,padj AN_LF,padj AN_HF,padj_HF_LF,EF HD,EF H_LF,EF H_HF,EF AN_LF,EF AN_HF,EF_HF_LF,t HAN,t H_LF,t H_HF,t AN_LF,t AN_HF,t_HF_LF,ROI1,ROI2,meanAN,meanHEALTH,meanHF,meanLF,stdAN,stdHEALTH,stdHF,stdLF,p HAN,p H_LF,p H_HF,p AN_LF,p AN_HF,p_HF_LF,EF HAN,EF H_LF,EF H_HF,EF AN_LF,EF AN_HF,EF_HF_LF,t HAN,t H_LF,t H_HF,t AN_LF,t AN_HF,t_HF_LF
b'rFEF',b'rPCM',0.14551009066340062,0.14522936222750923,0.14554404929613723,0.1440915297830743,0.1284443918258232,0.13182907106287262,0.12844803860487938,0.12935711351331863,1.0,1.0,1.0,1.0,1.0,1.0,0.002153400248987622,-0.008697884264209407,0.002413855369373197,0.0109866368800056,-0.0002639391726069206,-0.011249485118970006,0.026373659110009606,-0.10652689144548078,0.029563569839208714,0.13455827172628548,-0.0032325814800966534,-0.1377774920525451,b'rFEF',b'rPCM',0.14551009066340062,0.14522936222750923,0.14554404929613723,0.1440915297830743,0.1284443918258232,0.13182907106287262,0.12844803860487938,0.12935711351331863,0.9789681023361401,0.9152000463837244,0.9764249832373084,0.893006410810302,0.9974218556893258,0.8904626511871068,0.002153400248987622,-0.008697884264209407,0.002413855369373197,0.0109866368800056,-0.0002639391726069206,-0.011249485118970006,0.026373659110009606,-0.10652689144548078,0.029563569839208714,0.13455827172628548,-0.0032325814800966534,-0.1377774920525451
b'rFEF',b'rPCM',0.14551009066340062,0.14522936222750923,0.14554404929613723,0.1440915297830743,0.1284443918258232,0.13182907106287262,0.12844803860487938,0.12935711351331863,1.0,1.0,1.0,1.0,1.0,1.0,0.002153400248987622,-0.008697884264209407,0.002413855369373197,0.0109866368800056,-0.0002639391726069206,-0.011249485118970006,0.026373659110009606,-0.10652689144548078,0.029563569839208714,0.13455827172628548,-0.0032325814800966534,-0.1377774920525451,b'rFEF',b'rPCM',0.14551009066340062,0.14522936222750923,0.14554404929613723,0.1440915297830743,0.1284443918258232,0.13182907106287262,0.12844803860487938,0.12935711351331863,0.9789681023361401,0.9152000463837244,0.9764249832373084,0.893006410810302,0.9974218556893258,0.8904626511871068,0.002153400248987622,-0.008697884264209407,0.002413855369373197,0.0109866368800056,-0.0002639391726069206,-0.011249485118970006,0.026373659110009606,-0.10652689144548078,0.029563569839208714,0.13455827172628548,-0.0032325814800966534,-0.1377774920525451
b'rFEF',b'rPCS',0.11283146810275335,0.11913066317038234,0.11282427391016815,0.11015471553876988,0.09962172585325213,0.09929212351122206,0.0996098427648687,0.09337235166235883,1.0,1.0,1.0,1.0,1.0,1.0,-0.06323017761131082,-0.09297768359460261,-0.06330617965855741,0.027678441954821623,7.209893786053187e-05,-0.027605804704233194,-0.7744083574663222,-1.1387394113635942,-0.7753391886421271,0.33899029832277566,0.000883028043774673,-0.3381006773214741,b'rFEF',b'rPCS',0.11283146810275335,0.11913066317038234,0.11282427391016815,0.11015471553876988,0.09962172585325213,0.09929212351122206,0.0996098427648687,0.09337235166235883,0.4389954093755041,0.2552678312002019,0.43844574786555635,0.7347360408744916,0.9992957401332665,0.7354059815973577,-0.06323017761131082,-0.09297768359460261,-0.06330617965855741,0.027678441954821623,7.209893786053187e-05,-0.027605804704233194,-0.7744083574663222,-1.1387394113635942,-0.7753391886421271,0.33899029832277566,0.000883028043774673,-0.3381006773214741
b'rFEF',b'rPFCCL',0.14807382819988624,0.14753602189257892,0.1480983213807961,0.14418464364702854,0.1435443299295932,0.14166329078058637,0.14356105851148718,0.1398159961131102,1.0,1.0,1.0,1.0,1.0,1.0,0.0037649592739184036,-0.023772377283020407,0.0039361934988969925,0.027402291465656453,-0.00017033692720164434,-0.027573215728408422,0.04611114561729766,-0.2911509715816516,0.04820832800579006,0.33560815936940247,-0.0020861927799881636,-0.3377015455114212,b'rFEF',b'rPFCCL',0.14807382819988624,0.14753602189257892,0.1480983213807961,0.14418464364702854,0.1435443299295932,0.14166329078058637,0.14356105851148718,0.1398159961131102,0.9632370566448676,0.77103681342817,0.9615663089455605,0.7372840782573932,0.9983361559314896,0.7357066186424335,0.0037649592739184036,-0.023772377283020407,0.0039361934988969925,0.027402291465656453,-0.00017033692720164434,-0.027573215728408422,0.04611114561729766,-0.2911509715816516,0.04820832800579006,0.33560815936940247,-0.0020861927799881636,-0.3377015455114212
b'rFEF',b'rPFCDL',0.14448262050380503,0.15020968915493213,0.14350485316210396,0.14071973134386934,0.12612831008741757,0.1352844443214671,0.1276064722786219,0.1000584960429544,1.0,1.0,1.0,1.0,1.0,1.0,-0.043716395597574155,-0.07962635333573669,-0.05090171280383054,0.0329984427978447,0.007694016535905704,-0.0242491560231104,-0.5354143130385478,-0.9752196787555806,-0.6234161170153903,0.40414673580569016,0.0942320729275259,-0.2969902947487892,b'rFEF',b'rPFCDL',0.14448262050380503,0.15020968915493213,0.14350485316210396,0.14071973134386934,0.12612831008741757,0.1352844443214671,0.1276064722786219,0.1000584960429544,0.5925624485006649,0.32984562684804297,0.5332488089421181,0.6862493135769083,0.9249563719904118,0.7665770476915462,-0.043716395597574155,-0.07962635333573669,-0.05090171280383054,0.0329984427978447,0.007694016535905704,-0.0242491560231104,-0.5354143130385478,-0.9752196787555806,-0.6234161170153903,0.40414673580569016,0.0942320729275259,-0.2969902947487892
b'rFEF',b'rPFCDM',0.1429133057749402,0.14363726442736924,0.14290089746474172,0.14244309459440704,0.11960334854005268,0.11455200938049068,0.11959701823203067,0.11890531472521801,1.0,1.0,1.0,1.0,1.0,1.0,-0.006171824866665912,-0.01021146522762855,-0.00627778033292805,0.003936333584336453,0.00010357519582248838,-0.0038325604692164682,-0.07558910852576153,-0.12506439666931615,-0.07688679266476611,0.04821004369502542,0.0012685318988697215,-0.046939087789710114,b'rFEF',b'rPFCDM',0.1429133057749402,0.14363726442736924,0.14290089746474172,0.14244309459440704,0.11960334854005268,0.11455200938049068,0.11959701823203067,0.11890531472521801,0.9397712820063551,0.90051459977882,0.9387393210806592,0.961564942187618,0.9989882813024598,0.9625774459732142,-0.006171824866665912,-0.01021146522762855,-0.00627778033292805,0.003936333584336453,0.00010357519582248838,-0.0038325604692164682,-0.07558910852576153,-0.12506439666931615,-0.07688679266476611,0.04821004369502542,0.0012685318988697215,-0.046939087789710114
b'rFEF',b'rPFCM',0.14444003805107491,0.140829907524084,0.14443723441312373,0.1434570779981947,0.1307806977789765,0.12518287692947935,0.1308307728356484,0.12889208332916652,1.0,1.0,1.0,1.0,1.0,1.0,0.028154373512441464,0.020643582904434216,0.028126888015986205,0.007557930876309969,2.1397848213414598e-05,-0.007534910190188734,0.3448192456660588,0.2528312228935289,0.3444826184578465,0.09256537079092773,0.0002620690485819521,-0.09228342611829876,b'rFEF',b'rPFCM',0.14444003805107491,0.140829907524084,0.14443723441312373,0.1434570779981947,0.1307806977789765,0.12518287692947935,0.1308307728356484,0.12889208332916652,0.7303515026810845,0.8004855237919717,0.7306044752732523,0.9262798570518052,0.9997909865531001,0.9265037623514173,0.028154373512441464,0.020643582904434216,0.028126888015986205,0.007557930876309969,2.1397848213414598e-05,-0.007534910190188734,0.3448192456660588,0.2528312228935289,0.3444826184578465,0.09256537079092773,0.0002620690485819521,-0.09228342611829876
b'rFEF',b'rPFCORB',0.13132842716815138,0.12989511821904273,0.13145221759681666,0.13072977876977646,0.12076625218445945,0.12036171385324046,0.12087587286421228,0.12482996385780025,1.0,1.0,1.0,1.0,1.0,1.0,0.01186852040914366,0.006795744198003789,0.012887697446442086,0.004866264083435575,-0.0010228674021498616,-0.005869949149696397,0.14535909502105102,0.08323052853794287,0.15784141351576425,0.05959931979024813,-0.012527516048966809,-0.07189190116420083,b'rFEF',b'rPFCORB',0.13132842716815138,0.12989511821904273,0.13145221759681666,0.13072977876977646,0.12076625218445945,0.12036171385324046,0.12087587286421228,0.12482996385780025,0.8844763393194298,0.9336960911728045,0.87463504692014,0.9524946713430731,0.990008927978197,0.9427119725198315,0.01186852040914366,0.006795744198003789,0.012887697446442086,0.004866264083435575,-0.0010228674021498616,-0.005869949149696397,0.14535909502105102,0.08323052853794287,0.15784141351576425,0.05959931979024813,-0.012527516048966809,-0.07189190116420083
b'rFEF',b'rTCC',0.14738083294274443,0.15471429571388343,0.14739075706145902,0.14798979060403786,0.12958498721112627,0.13920743113148162,0.12958493575484892,0.12982546776016338,1.0,1.0,1.0,1.0,1.0,1.0,-0.05444010218799818,-0.049876501415369964,-0.05436644032370902,-0.004687101940528329,-7.645613037831077e-05,0.004610717648777005,-0.6667523595278481,-0.6108598931142969,-0.665850189622795,-0.05740504063351635,-0.0009363925356728278,0.05646952793774322,b'rFEF',b'rTCC',0.14738083294274443,0.15471429571388343,0.14739075706145902,0.14798979060403786,0.12958498721112627,0.13920743113148162,0.12958493575484892,0.12982546776016338,0.5051874922837145,0.541524443581341,0.5057636180813067,0.954241723468846,0.9992531792434645,0.954986632149321,-0.05444010218799818,-0.049876501415369964,-0.05436644032370902,-0.004687101940528329,-7.645613037831077e-05,0.004610717648777005,-0.6667523595278481,-0.6108598931142969,-0.665850189622795,-0.05740504063351635,-0.0009363925356728278,0.05646952793774322
b'rFEF',b'rTCI',0.13999219249452555,0.14057028350501444,0.13998933633610097,0.13933152210516928,0.12001617366094137,0.12867719667348018,0.12001928087064376,0.11985148869716275,1.0,1.0,1.0,1.0,1.0,1.0,-0.004638459417732463,-0.009945862122116827,-0.004661320383915239,0.005499434071062738,2.3758108503987647e-05,-0.005475588369819946,-0.056809293830258505,-0.1218114362563045,-0.05708928234113261,0.06735403674090255,0.0002909762154422377,-0.0670619877378841,b'rFEF',b'rTCI',0.13999219249452555,0.14057028350501444,0.13998933633610097,0.13933152210516928,0.12001617366094137,0.12867719667348018,0.12001928087064376,0.11985148869716275,0.9547160865327188,0.9030892779087779,0.9544931438220113,0.9463223723413754,0.9997679316122136,0.946554770003205,-0.004638459417732463,-0.009945862122116827,-0.004661320383915239,0.005499434071062738,2.3758108503987647e-05,-0.005475588369819946,-0.056809293830258505,-0.1218114362563045,-0.05708928234113261,0.06735403674090255,0.0002909762154422377,-0.0670619877378841
