ROI1,ROI2,meanAN,meanHEALTH,meanHF,meanLF,stdAN,stdHEALTH,stdHF,stdLF,padj HAN,padj H_LF,padj H_HF,padj AN_LF,padj AN_HF,padj_HF_LF,EF HAN,EF H_LF,EF H_HF,EF AN_LF,EF AN_HF,EF_HF_LF,t HAN,t H_LF,t H_HF,t AN_LF,t AN_HF,t_HF_LF,ROI1,ROI2,meanAN,meanHEALTH,meanHF,meanLF,stdAN,stdHEALTH,stdHF,stdLF,p HAN,p H_LF,p H_HF,p AN_LF,p AN_HF,p_HF_LF,EF HAN,EF H_LF,EF H_HF,EF AN_LF,EF AN_HF,EF_HF_LF,t HAN,t H_LF,t H_HF,t AN_LF,t AN_HF,t_HF_LF
b'rFEF',b'rPCM',0.1350665664144131,0.13560660399543797,0.13508950286441335,0.13468424850181512,0.11867873565863299,0.11984025413275347,0.11868580466785324,0.11909763852850805,1.0,1.0,1.0,1.0,1.0,1.0,-0.004526144051105915,-0.0077169149087682794,-0.0043337820659405035,0.0032143100884553955,-0.0001931714141372853,-0.003407045513289028,-0.10614748694269122,-0.18097769652651557,-0.10163619850863738,0.07538225347925315,-0.004530271226084506,-0.07990229984983281,b'rFEF',b'rPCM',0.1350665664144131,0.13560660399543797,0.13508950286441335,0.13468424850181512,0.11867873565863299,0.11984025413275347,0.11868580466785324,0.11909763852850805,0.9154750210750318,0.856401767910737,0.9190547163046465,0.9399174386952245,0.9963857900048683,0.9363222345152957,-0.004526144051105915,-0.0077169149087682794,-0.0043337820659405035,0.0032143100884553955,-0.0001931714141372853,-0.003407045513289028,-0.10614748694269122,-0.18097769652651557,-0.10163619850863738,0.07538225347925315,-0.004530271226084506,-0.07990229984983281
b'rFEF',b'rPCM',0.1350665664144131,0.13560660399543797,0.13508950286441335,0.13468424850181512,0.11867873565863299,0.11984025413275347,0.11868580466785324,0.11909763852850805,1.0,1.0,1.0,1.0,1.0,1.0,-0.004526144051105915,-0.0077169149087682794,-0.0043337820659405035,0.0032143100884553955,-0.0001931714141372853,-0.003407045513289028,-0.10614748694269122,-0.18097769652651557,-0.10163619850863738,0.07538225347925315,-0.004530271226084506,-0.07990229984983281,b'rFEF',b'rPCM',0.1350665664144131,0.13560660399543797,0.13508950286441335,0.13468424850181512,0.11867873565863299,0.11984025413275347,0.11868580466785324,0.11909763852850805,0.9154750210750318,0.856401767910737,0.9190547163046465,0.9399174386952245,0.9963857900048683,0.9363222345152957,-0.004526144051105915,-0.0077169149087682794,-0.0043337820659405035,0.0032143100884553955,-0.0001931714141372853,-0.003407045513289028,-0.10614748694269122,-0.18097769652651557,-0.10163619850863738,0.07538225347925315,-0.004530271226084506,-0.07990229984983281
b'rFEF',b'rPCS',0.13095804974863323,0.1314831115271319,0.1309568497836071,0.1294944698314899,0.1079082047779629,0.1073599314015074,0.10790996370890728,0.10686461701495191,1.0,1.0,1.0,1.0,1.0,1.0,-0.004875978088369392,-0.018557464712860867,-0.0048870815116508455,0.013622740722362926,1.11150925969149e-05,-0.01361145964839655,-0.11435182235120758,-0.4352111247578489,-0.11461222070894417,0.3194815888807974,0.0002606720274423319,-0.31921702424519927,b'rFEF',b'rPCS',0.13095804974863323,0.1314831115271319,0.1309568497836071,0.1294944698314899,0.1079082047779629,0.1073599314015074,0.10790996370890728,0.10686461701495191,0.9089693477373554,0.6634519175589239,0.9087629610607966,0.7493917114184445,0.9997920374711804,0.7495922820556211,-0.004875978088369392,-0.018557464712860867,-0.0048870815116508455,0.013622740722362926,1.11150925969149e-05,-0.01361145964839655,-0.11435182235120758,-0.4352111247578489,-0.11461222070894417,0.3194815888807974,0.0002606720274423319,-0.31921702424519927
b'rFEF',b'rPFCCL',0.1531363489604284,0.15362048344665225,0.15315486107582837,0.1512630838065519,0.12429763914103248,0.1249096040334445,0.12430638861768682,0.12307234345209012,1.0,1.0,1.0,1.0,1.0,1.0,-0.003883618388047691,-0.01900350575586689,-0.0037349875334913647,0.015138380873688712,-0.00014886081327111116,-0.015287439076855066,-0.09107892446219477,-0.4456717144460666,-0.08759322194915968,0.35502650114079554,-0.0034910955229347624,-0.3585222258671077,b'rFEF',b'rPFCCL',0.1531363489604284,0.15362048344665225,0.15315486107582837,0.1512630838065519,0.12429763914103248,0.1249096040334445,0.12430638861768682,0.12307234345209012,0.9274381779888536,0.6558782919549573,0.9302079686278448,0.7226037998255468,0.9972148312451109,0.7199869686960182,-0.003883618388047691,-0.01900350575586689,-0.0037349875334913647,0.015138380873688712,-0.00014886081327111116,-0.015287439076855066,-0.09107892446219477,-0.4456717144460666,-0.08759322194915968,0.35502650114079554,-0.0034910955229347624,-0.3585222258671077
b'rFEF',b'rPFCDL',0.15170380284678733,0.15300839414661863,0.15139643942885486,0.16321500044614987,0.1352039060592118,0.13333438621248017,0.1363759052806027,0.14103842233142905,1.0,1.0,1.0,1.0,1.0,1.0,-0.009711587561805717,0.07433642292015354,-0.011947036914750728,-0.08328483606897928,0.002262471670968681,0.08515435883058174,-0.22775691676399365,1.7433436479679387,-0.2801828511406954,-1.953202538261256,0.053059663908327746,1.9970467333831001,b'rFEF',b'rPFCDL',0.15170380284678733,0.15300839414661863,0.15139643942885486,0.16321500044614987,0.1352039060592118,0.13333438621248017,0.1363759052806027,0.14103842233142905,0.8198564053520934,0.0814134269915078,0.7793635886625601,0.050922322415649035,0.9576891914103917,0.045943204439214735,-0.009711587561805717,0.07433642292015354,-0.011947036914750728,-0.08328483606897928,0.002262471670968681,0.08515435883058174,-0.22775691676399365,1.7433436479679387,-0.2801828511406954,-1.953202538261256,0.053059663908327746,1.9970467333831001
b'rFEF',b'rPFCDM',0.13978060965503397,0.13934864721171622,0.13977332754624328,0.13963311723672764,0.11669435203176935,0.11520675197268238,0.11668935167144677,0.11667541509632601,1.0,1.0,1.0,1.0,1.0,1.0,0.00372363185343705,0.0024524092699161285,0.003660937568107919,0.001263448666750152,6.237623168586829e-05,-0.0012010944476051953,0.08732690764570833,0.05751409544575838,0.08585659632591522,0.029630497691264066,0.0014628523006889706,-0.02816816163041912,b'rFEF',b'rPFCDM',0.13978060965503397,0.13934864721171622,0.13977332754624328,0.13963311723672764,0.11669435203176935,0.11520675197268238,0.11668935167144677,0.11667541509632601,0.9304196211202518,0.9541409059391728,0.931588234866023,0.9763644323762144,0.998832945899021,0.9775305876438355,0.00372363185343705,0.0024524092699161285,0.003660937568107919,0.001263448666750152,6.237623168586829e-05,-0.0012010944476051953,0.08732690764570833,0.05751409544575838,0.08585659632591522,0.029630497691264066,0.0014628523006889706,-0.02816816163041912
b'rFEF',b'rPFCM',0.14407742042123575,0.14419911242614333,0.14407822701935719,0.14342103462685746,0.12240974176999983,0.12157952799730723,0.12242764205729831,0.1214008917455942,1.0,1.0,1.0,1.0,1.0,1.0,-0.0009970600243378628,-0.006401535051960577,-0.0009903784096394386,0.0053818961321946395,-6.585852109687799e-06,-0.005388112429147348,-0.02338313025822122,-0.15012930447388992,-0.023226432503808434,0.12621665218089245,-0.0001544519226357302,-0.1263624372668661,b'rFEF',b'rPFCM',0.14407742042123575,0.14419911242614333,0.14407822701935719,0.14342103462685746,0.12240974176999983,0.12157952799730723,0.12242764205729831,0.1214008917455942,0.9813467839377826,0.8806763749426799,0.9814717624781389,0.8995719740460769,0.9998767792119327,0.8994565918218109,-0.0009970600243378628,-0.006401535051960577,-0.0009903784096394386,0.0053818961321946395,-6.585852109687799e-06,-0.005388112429147348,-0.02338313025822122,-0.15012930447388992,-0.023226432503808434,0.12621665218089245,-0.0001544519226357302,-0.1263624372668661
b'rFEF',b'rPFCORB',0.13286711894950795,0.13067268475180055,0.13291684221684752,0.13374088402487821,0.11269249831149299,0.1171028980340831,0.1126526749302538,0.11337965991118829,1.0,1.0,1.0,1.0,1.0,1.0,0.019086828190611454,0.02660855794667933,0.01952262980020697,-0.0077264161275321175,-0.00044110694029349544,0.0072880094682170864,0.4476257987514304,0.6240259976963984,0.4578462524404465,-0.18120051985765276,-0.010344874722600516,0.17091897233733896,b'rFEF',b'rPFCORB',0.13286711894950795,0.13067268475180055,0.13291684221684752,0.13374088402487821,0.11269249831149299,0.1171028980340831,0.1126526749302538,0.11337965991118829,0.6544673915728946,0.5326752693968781,0.6471081592544101,0.8562268931340433,0.9917470701988661,0.8643032102373686,0.019086828190611454,0.02660855794667933,0.01952262980020697,-0.0077264161275321175,-0.00044110694029349544,0.0072880094682170864,0.4476257987514304,0.6240259976963984,0.4578462524404465,-0.18120051985765276,-0.010344874722600516,0.17091897233733896
b'rFEF',b'rTCC',0.1428451144634779,0.1434251674709219,0.1428473532117198,0.14367368301005032,0.1226893090204545,0.1249657001598524,0.1226831550915772,0.12256526327639025,1.0,1.0,1.0,1.0,1.0,1.0,-0.004682035688547901,0.0020069478911505867,-0.004664079920422333,-0.006753731236747451,-1.8239458164768615e-05,0.00673565210769221,-0.10980346990810409,0.04706710008898555,-0.10938236981912461,-0.15838903715226013,-0.0004277532101333542,0.1579650439930372,b'rFEF',b'rTCC',0.1428451144634779,0.1434251674709219,0.1428473532117198,0.14367368301005032,0.1226893090204545,0.1249657001598524,0.1226831550915772,0.12256526327639025,0.9125752628508794,0.9624640244652787,0.9129092015454596,0.8741648019084811,0.999658741145121,0.8744988538896474,-0.004682035688547901,0.0020069478911505867,-0.004664079920422333,-0.006753731236747451,-1.8239458164768615e-05,0.00673565210769221,-0.10980346990810409,0.04706710008898555,-0.10938236981912461,-0.15838903715226013,-0.0004277532101333542,0.1579650439930372
b'rFEF',b'rTCI',0.13744273804353752,0.13826036843561176,0.13744138483224363,0.13725535832616917,0.13048215145420855,0.13391421710292017,0.13048313573941375,0.13041534188207715,1.0,1.0,1.0,1.0,1.0,1.0,-0.006181550952932326,-0.007600097340644149,-0.006191758921758261,0.0014357709372163805,1.0366099434265306e-05,-0.001425396765539117,-0.1449702200489266,-0.17823808171374725,-0.14520961813821137,0.033671813157080836,0.00024310658077187367,-0.03342851726543008,b'rFEF',b'rTCI',0.13744273804353752,0.13826036843561176,0.13744138483224363,0.13725535832616917,0.13048215145420855,0.13391421710292017,0.13048313573941375,0.13041534188207715,0.8847476758609958,0.8585524288732291,0.8845586861760608,0.9731419133783628,0.9998060510754427,0.9733359040757177,-0.006181550952932326,-0.007600097340644149,-0.006191758921758261,0.0014357709372163805,1.0366099434265306e-05,-0.001425396765539117,-0.1449702200489266,-0.17823808171374725,-0.14520961813821137,0.033671813157080836,0.00024310658077187367,-0.03342851726543008
