ROI1,ROI2,meanAN,meanHEALTH,meanHF,meanLF,stdAN,stdHEALTH,stdHF,stdLF,padj HAN,padj H_LF,padj H_HF,padj AN_LF,padj AN_HF,padj_HF_LF,EF HAN,EF H_LF,EF H_HF,EF AN_LF,EF AN_HF,EF_HF_LF,t HAN,t H_LF,t H_HF,t AN_LF,t AN_HF,t_HF_LF,ROI1,ROI2,meanAN,meanHEALTH,meanHF,meanLF,stdAN,stdHEALTH,stdHF,stdLF,p HAN,p H_LF,p H_HF,p AN_LF,p AN_HF,p_HF_LF,EF HAN,EF H_LF,EF H_HF,EF AN_LF,EF AN_HF,EF_HF_LF,t HAN,t H_LF,t H_HF,t AN_LF,t AN_HF,t_HF_LF
b'rFEF',b'rPCM',0.13156026594245024,0.1294673174130576,0.13161272959469972,0.13071016913000919,0.11438952636396571,0.1120989153603253,0.11442502194927212,0.11319775831150572,1.0,1.0,1.0,1.0,1.0,1.0,0.018449952701031412,0.011014488500436823,0.01890944171462906,0.0074579488681414405,-0.00045780427509593737,-0.00791697425048329,0.22596484948005616,0.13489938301911633,0.23159241760870114,0.09134084627356936,-0.005606934380248934,-0.09696273610218678,b'rFEF',b'rPCM',0.13156026594245024,0.1294673174130576,0.13161272959469972,0.13071016913000919,0.11438952636396571,0.1120989153603253,0.11442502194927212,0.11319775831150572,0.8213059678615325,0.8927368191591749,0.8169338204428275,0.9272523508487189,0.9955282069727133,0.9227884746251063,0.018449952701031412,0.011014488500436823,0.01890944171462906,0.0074579488681414405,-0.00045780427509593737,-0.00791697425048329,0.22596484948005616,0.13489938301911633,0.23159241760870114,0.09134084627356936,-0.005606934380248934,-0.09696273610218678
b'rFEF',b'rPCM',0.13156026594245024,0.1294673174130576,0.13161272959469972,0.13071016913000919,0.11438952636396571,0.1120989153603253,0.11442502194927212,0.11319775831150572,1.0,1.0,1.0,1.0,1.0,1.0,0.018449952701031412,0.011014488500436823,0.01890944171462906,0.0074579488681414405,-0.00045780427509593737,-0.00791697425048329,0.22596484948005616,0.13489938301911633,0.23159241760870114,0.09134084627356936,-0.005606934380248934,-0.09696273610218678,b'rFEF',b'rPCM',0.13156026594245024,0.1294673174130576,0.13161272959469972,0.13071016913000919,0.11438952636396571,0.1120989153603253,0.11442502194927212,0.11319775831150572,0.8213059678615325,0.8927368191591749,0.8169338204428275,0.9272523508487189,0.9955282069727133,0.9227884746251063,0.018449952701031412,0.011014488500436823,0.01890944171462906,0.0074579488681414405,-0.00045780427509593737,-0.00791697425048329,0.22596484948005616,0.13489938301911633,0.23159241760870114,0.09134084627356936,-0.005606934380248934,-0.09696273610218678
b'rFEF',b'rPCS',0.14667241256253316,0.1434661794808568,0.14668472561101956,0.14555755733570488,0.11282182402306692,0.1063024107941469,0.11282101472793891,0.11385225952506275,1.0,1.0,1.0,1.0,1.0,1.0,0.029202330332714944,0.01895633354150904,0.029314588812973223,0.009820126469260318,-0.00010895545967125003,-0.009928620405964143,0.3576540430767566,0.23216672285351556,0.35902892305642203,0.12027149529643368,-0.0013344264044247657,-0.12160026922198462,b'rFEF',b'rPCS',0.14667241256253316,0.1434661794808568,0.14668472561101956,0.14555755733570488,0.11282182402306692,0.1063024107941469,0.11282101472793891,0.11385225952506275,0.7207284241409269,0.8164879520607234,0.7197001804545231,0.9043084803270224,0.9989357271138453,0.9032564496354276,0.029202330332714944,0.01895633354150904,0.029314588812973223,0.009820126469260318,-0.00010895545967125003,-0.009928620405964143,0.3576540430767566,0.23216672285351556,0.35902892305642203,0.12027149529643368,-0.0013344264044247657,-0.12160026922198462
b'rFEF',b'rPFCCL',0.16853057446798692,0.1678527484363639,0.1685696700492613,0.1672223252151661,0.12205658872142483,0.12344629686568614,0.122073476951553,0.12284637000562318,1.0,1.0,1.0,1.0,1.0,1.0,0.005512640191738694,-0.005110747142156551,0.005830198902649487,0.010665940769077233,-0.000319750600002226,-0.010983925591710611,0.06751577802659112,-0.06259361351335456,0.0714050620521283,0.13063056255493802,-0.003916129074771096,-0.13452506536194397,b'rFEF',b'rPFCCL',0.16853057446798692,0.1678527484363639,0.1685696700492613,0.1672223252151661,0.12205658872142483,0.12344629686568614,0.122073476951553,0.12284637000562318,0.9461936688662396,0.9501110304748877,0.9430992545729522,0.8961114958170773,0.9968766950748764,0.893032655571975,0.005512640191738694,-0.005110747142156551,0.005830198902649487,0.010665940769077233,-0.000319750600002226,-0.010983925591710611,0.06751577802659112,-0.06259361351335456,0.0714050620521283,0.13063056255493802,-0.003916129074771096,-0.13452506536194397
b'rFEF',b'rPFCDL',0.16864497186713817,0.18073931071645216,0.1694926322447823,0.19352254812100642,0.13731861247424865,0.13601280615080308,0.1392083981412224,0.17391428332371756,1.0,1.0,1.0,1.0,1.0,1.0,-0.08834715796016415,0.0817453081903059,-0.08158645784167141,-0.1585060626218938,-0.006120390688229885,0.15229697327069297,-1.0820272861373363,1.00117146966402,-0.9992259581659317,-1.9412948728063841,-0.07495917106322389,1.8652493694174312,b'rFEF',b'rPFCDL',0.16864497186713817,0.18073931071645216,0.1694926322447823,0.19352254812100642,0.13731861247424865,0.13601280615080308,0.1392083981412224,0.17391428332371756,0.2796765287477515,0.3171488547205538,0.3180893947685957,0.05269194435305966,0.9402722655719227,0.06263597216507595,-0.08834715796016415,0.0817453081903059,-0.08158645784167141,-0.1585060626218938,-0.006120390688229885,0.15229697327069297,-1.0820272861373363,1.00117146966402,-0.9992259581659317,-1.9412948728063841,-0.07495917106322389,1.8652493694174312
b'rFEF',b'rPFCDM',0.13285549541842614,0.12974671767825516,0.13284520338358916,0.13349090335760555,0.11284151801163436,0.11154196838540383,0.11283145313698797,0.11308345093710394,1.0,1.0,1.0,1.0,1.0,1.0,0.027662820628929472,0.03328075833353527,0.027572482945856003,-0.0056155606102440475,9.105979386642732e-05,0.005706772739936349,0.33879897693506816,0.40760438085020206,0.33769257079469195,-0.0687762905738502,0.0011152501552788212,0.06989340645434369,b'rFEF',b'rPFCDM',0.13285549541842614,0.12974671767825516,0.13284520338358916,0.13349090335760555,0.11284151801163436,0.11154196838540383,0.11283145313698797,0.11308345093710394,0.7348801008868495,0.6837100247693602,0.7357133791123516,0.9451906812839604,0.9991105312334966,0.9443018669181192,0.027662820628929472,0.03328075833353527,0.027572482945856003,-0.0056155606102440475,9.105979386642732e-05,0.005706772739936349,0.33879897693506816,0.40760438085020206,0.33769257079469195,-0.0687762905738502,0.0011152501552788212,0.06989340645434369
b'rFEF',b'rPFCM',0.15599924730616227,0.15384264271245132,0.156033628716209,0.15403397726776397,0.13108194471256251,0.13247021913462964,0.13111491339672215,0.1291840742760263,1.0,1.0,1.0,1.0,1.0,1.0,0.016338149926627778,0.001459944210711334,0.016596553661879038,0.015076418355333122,-0.0002618189999765856,-0.015338215581966953,0.2001006533066424,0.017880591845865476,0.20326543980161646,0.18464766059648255,-0.003206614774541978,-0.1878540087031258,b'rFEF',b'rPFCM',0.15599924730616227,0.15384264271245132,0.156033628716209,0.15403397726776397,0.13108194471256251,0.13247021913462964,0.13111491339672215,0.1291840742760263,0.8414698906822996,0.9857400760245094,0.8389967115064914,0.853568002618552,0.9974425653555281,0.8510548207827937,0.016338149926627778,0.001459944210711334,0.016596553661879038,0.015076418355333122,-0.0002618189999765856,-0.015338215581966953,0.2001006533066424,0.017880591845865476,0.20326543980161646,0.18464766059648255,-0.003206614774541978,-0.1878540087031258
b'rFEF',b'rPFCORB',0.14878637366305833,0.14682344318191667,0.14883938546103848,0.14669337521536663,0.1139705489001006,0.13136188439182506,0.1138706004064946,0.11127470724650822,1.0,1.0,1.0,1.0,1.0,1.0,0.015935527089503434,-0.00106668412260341,0.016372053841463494,0.01855184523691258,-0.0004645637217149731,-0.019030271677632223,0.19516955075791065,-0.013064159085533635,0.20051588976479373,0.22721277308759158,-0.005689720356050027,-0.2330722763836868,b'rFEF',b'rPFCORB',0.14878637366305833,0.14682344318191667,0.14883938546103848,0.14669337521536663,0.1139705489001006,0.13136188439182506,0.1138706004064946,0.11127470724650822,0.8453265077029865,0.9895809628531136,0.8411453067540435,0.8203359506730143,0.9954621819843953,0.8157850363300914,0.015935527089503434,-0.00106668412260341,0.016372053841463494,0.01855184523691258,-0.0004645637217149731,-0.019030271677632223,0.19516955075791065,-0.013064159085533635,0.20051588976479373,0.22721277308759158,-0.005689720356050027,-0.2330722763836868
b'rFEF',b'rTCC',0.131171700244299,0.12819743705674735,0.13117477310776185,0.1328286167665603,0.10400667641997283,0.10601180989538549,0.10399560933003932,0.10445624926447117,1.0,1.0,1.0,1.0,1.0,1.0,0.02827528828721053,0.04393377671300916,0.028305978124288953,-0.015869957091815937,-2.9497154162004443e-05,0.015841364348115297,0.3463001431687976,0.538076677101212,0.34667601537445414,-0.19436648557406147,-0.00036126488280562014,0.19401629741199772,b'rFEF',b'rTCC',0.131171700244299,0.12819743705674735,0.13117477310776185,0.1328286167665603,0.10400667641997283,0.10601180989538549,0.10399560933003932,0.10445624926447117,0.729238969891612,0.5907243146410409,0.7289566845384872,0.8459549398372876,0.999711872813565,0.846229007526065,0.02827528828721053,0.04393377671300916,0.028305978124288953,-0.015869957091815937,-2.9497154162004443e-05,0.015841364348115297,0.3463001431687976,0.538076677101212,0.34667601537445414,-0.19436648557406147,-0.00036126488280562014,0.19401629741199772
b'rFEF',b'rTCI',0.16660783643264693,0.16940713157689294,0.1666032833749973,0.16650787738677403,0.16104145856543342,0.16249972769778515,0.16104379906081742,0.16079627762398466,1.0,1.0,1.0,1.0,1.0,1.0,-0.017275064138036155,-0.017905435523025894,-0.017303037451296466,0.0006201403267555083,2.822521539381597e-05,-0.0005918891042144671,-0.21157546206020542,-0.2192959032685874,-0.21191806377971936,0.0075951368473691295,0.0003456868779749904,-0.007249131448192302,b'rFEF',b'rTCI',0.16660783643264693,0.16940713157689294,0.1666032833749973,0.16650787738677403,0.16104145856543342,0.16249972769778515,0.16104379906081742,0.16079627762398466,0.8325103399112791,0.8264943821926144,0.832243164825709,0.9939425488400788,0.99972429706716,0.9942184982003899,-0.017275064138036155,-0.017905435523025894,-0.017303037451296466,0.0006201403267555083,2.822521539381597e-05,-0.0005918891042144671,-0.21157546206020542,-0.2192959032685874,-0.21191806377971936,0.0075951368473691295,0.0003456868779749904,-0.007249131448192302
